STATION_NAME,x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA,HLY_REC_LENGTH
SANDSPIT,-131.8138889,53.25416667,48648,SANDSPIT,BC,BRITISH COLUMBIA,CAN,531515000,-1314850000,PST,6.4,1057052,YZP,71111.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2010-06-03 00:00:00,2022-06-07 12:30:00,2010-06-03 11:00:00,2022-06-07 12:30:00,2010-06-03 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4387 days 01:30:00
DELTA BURNS BOG,-123.0022458,49.12584806,49088,DELTA BURNS BOG,BC,BRITISH COLUMBIA,CAN,490733053,-1230008085,PST,3.1,1102415,VBB,71042.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2010-11-19 01:00:00,2022-06-07 12:30:00,2010-11-19 01:00:00,2022-06-07 12:30:00,2011-01-25 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4218 days 11:30:00
HOPE A,-121.4980556,49.36833333,49588,HOPE A,BC,BRITISH COLUMBIA,CAN,492206000,-1212953000,PST,39.0,1113542,YHE,71187.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2011-10-17 07:00:00,2022-06-07 12:30:00,2011-10-17 07:00:00,2022-06-07 12:30:00,2011-10-20 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3886 days 05:30:00
SMITHERS A,-127.1827778,54.82527778,50130,SMITHERS A,BC,BRITISH COLUMBIA,CAN,544931000,-1271058000,PST,523.0,1077498,YYD,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2012-04-10 07:00:00,2022-06-07 12:30:00,2012-04-10 07:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3710 days 05:30:00
WILLIAMS LAKE A,-122.0544444,52.18333333,50820,WILLIAMS LAKE A,BC,BRITISH COLUMBIA,CAN,521100000,-1220316000,PST,939.7,1098941,YWL,71104.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2012-12-03 09:00:00,2022-06-07 12:30:00,2012-12-03 09:00:00,2022-06-07 12:30:00,2012-12-06 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3473 days 03:30:00
FORT ST. JOHN A,-120.7402778,56.23833333,50837,FORT ST. JOHN A,BC,BRITISH COLUMBIA,CAN,561418000,-1204425000,PST,694.9,1183001,YXJ,71943.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2012-12-03 23:00:00,2022-06-07 12:30:00,2012-12-03 23:00:00,2022-06-07 12:30:00,2012-12-06 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3472 days 13:30:00
VICTORIA INTL A,-123.4258333,48.64722222,51337,VICTORIA INTL A,BC,BRITISH COLUMBIA,CAN,483850000,-1232533000,PST,19.5,1018621,YYJ,71799.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-05-16 00:00:00,2022-06-07 12:30:00,2013-07-09 06:00:00,2022-06-07 12:30:00,2013-05-16 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3255 days 06:30:00
CASTLEGAR A,-117.6325,49.29611111,52938,CASTLEGAR A,BC,BRITISH COLUMBIA,CAN,491746000,-1173757000,PST,495.6,1141460,YCG,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 11:00:00,2022-06-07 12:30:00,2014-10-23 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 01:30:00
FORT NELSON,-122.5741672,58.84139056,54098,FORT NELSON,BC,BRITISH COLUMBIA,CAN,585029006,-1223427002,PST,380.2,1192948,VFN,71594.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2015-10-14 08:00:00,2022-06-07 12:30:00,2015-10-14 08:00:00,2022-06-07 12:30:00,2015-10-27 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2428 days 04:30:00
PITT MEADOWS CS,-122.6900211,49.20832333,6830,PITT MEADOWS CS,BC,BRITISH COLUMBIA,CAN,491229964,-1224124076,PST,5.0,1106178,WMM,71775.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1993-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 01:00:00,2022-06-07 12:30:00,1993-10-01 00:00:00,2022-06-07 00:00:00,1993-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 11:30:00
DEASE LAKE (AUT),-130.025,58.42609972,6845,DEASE LAKE (AUT),BC,BRITISH COLUMBIA,CAN,582533959,-1300130000,PST,800.7,119BLM0,WKX,71222.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1993-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1993-08-01 00:00:00,2022-06-07 00:00:00,1993-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
PORT ALBERNI (AUT),-124.9268333,49.31658333,8045,PORT ALBERNI (AUT),BC,BRITISH COLUMBIA,CAN,491859700,-1245536600,PST,76.2,1036B06,WQC,71475.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-12-11 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1992-12-11 00:00:00,2022-06-07 00:00:00,2002-03-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
GREY ISLET (AUT),-130.6978,54.58032,8258,GREY ISLET (AUT),BC,BRITISH COLUMBIA,CAN,543449152,-1304152080,PST,9.5,1063303,WEK,71476.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-02-01 00:18:00,2022-06-07 12:30:00,1994-02-01 00:18:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2005-06-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:12:00
VICTORIA GONZALES CS,-123.3247756,48.41330444,114,VICTORIA GONZALES CS,BC,BRITISH COLUMBIA,CAN,482447896,-1231929192,PST,61.0,1018611,WLM,71200.0,Climate-Auto,G,1.0,9.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1972-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1973-01-01 00:00:00,2022-06-07 00:00:00,1972-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
PRINCE GEORGE,-122.6775,53.88416667,48370,PRINCE GEORGE,BC,BRITISH COLUMBIA,CAN,535303000,-1224039000,PST,691.0,1096439,YXS,71896.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2009-10-08 13:00:00,2022-06-07 12:30:00,2009-10-08 13:00:00,2022-06-07 12:30:00,2009-10-22 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4624 days 23:30:00
SMITHERS,-127.1827778,54.82527778,48628,SMITHERS,BC,BRITISH COLUMBIA,CAN,544931000,-1271058000,PST,523.0,1077499,YYD,71950.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2010-02-02 12:00:00,2022-06-07 12:30:00,2010-02-02 12:00:00,2022-06-07 12:30:00,2010-04-08 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4508 days 00:30:00
MACKENZIE,-123.1333333,55.29944444,48870,MACKENZIE,BC,BRITISH COLUMBIA,CAN,551758000,-1230800000,PST,690.1,1184791,YZY,71290.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2010-07-26 06:00:00,2022-06-07 12:30:00,2010-07-26 06:00:00,2022-06-07 12:30:00,2010-07-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4334 days 06:30:00
