CLIMATE_IDENTIFIER,1,2,3,4,5,6,7,8,9,10,11,12
1100032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060844,1019.8,660.3,365.0,279.0,163.9,345.8,342.9,358.4,747.7,1230.6,1478.3,838.8
1160902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160H99,375.3,338.1,242.1,275.4,250.0,503.8,388.1,325.4,514.3,636.7,612.9,473.3
1060R0K,528.2,284.6,307.6,405.4,123.8,284.4,320.6,443.8,376.0,877.2,428.6,734.0
1091174,205.1,160.8,99.0,114.4,203.6,219.2,253.7,131.4,202.9,315.2,226.4,112.2
1021270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051351,166.7,210.5,162.3,185.1,107.6,107.10000000000001,71.6,31.5,87.8,249.2,208.6,325.1
1141456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061458,739.6,765.4,527.8,330.8,136.0,446.6,318.6,481.6,619.2,791.0,1405.4,953.4
1161662,76.4,86.4,42.0,89.8,198.5,222.9,294.1,234.9,204.5,177.4,97.8,77.6
1161663,160.7,156.5,87.5,122.8,220.8,165.7,282.7,261.7,239.3,228.4,171.9,181.1
1021830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152106,241.20000000000002,200.6,222.3,146.3,285.9,335.0,239.5,200.1,240.0,277.2,265.7,276.0
1182289,61.5,16.900000000000002,39.6,52.9,91.8,242.3,135.0,226.7,99.0,115.2,53.300000000000004,27.6
119BLM0,158.7,120.9,105.4,100.3,164.7,298.7,375.5,401.2,317.7,198.4,209.5,87.8
1192341,106.7,105.3,91.8,84.9,197.0,353.1,449.1,568.9,303.8,150.5,114.5,68.8
1102415,938.8,682.6,851.5,413.2,266.9,194.3,63.0,127.8,459.8,844.2,1325.2,1067.1
1032731,1968.2,1540.9,1537.9,1168.5,395.4,621.1,291.7,558.0,1141.3,1552.2,2454.5,2407.6
1192946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192948,199.6,160.1,132.6,120.5,314.8,602.9,597.2,419.1,185.3,104.0,209.5,89.60000000000001
1183001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173220,285.1,190.2,138.5,522.3,158.6,255.20000000000002,225.70000000000002,186.3,232.2,280.8,305.6,290.6
1063303,494.40000000000003,510.4,410.4,598.6,472.8,368.8,245.4,353.6,471.8,738.6,932.0,600.6
1063461,802.0,443.4,590.8,390.0,222.0,344.2,275.4,344.4,592.4,1079.6,1093.2,673.8
1063496,453.6,330.6,461.2,339.8,305.6,309.8,293.8,458.0,659.6,571.8,558.0,311.8
1113542,1350.2,1406.9,1212.8,966.5,420.6,494.1,184.7,265.2,785.5,1492.9,2033.3,1348.2
1113543,1511.2,1491.9,1573.8,1080.0,568.9,575.0,278.2,274.4,797.0,1901.3,2214.4,1666.7
10459NN,1025.8,481.8,677.2,410.0,243.8,288.4,217.0,209.0,507.0,679.2,1121.6,982.2
1163781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163842,114.4,144.0,72.7,98.5,120.4,319.0,159.5,141.4,176.5,148.0,168.5,188.6
1123996,194.0,128.6,144.8,113.9,197.5,216.9,101.2,107.60000000000001,130.7,212.9,223.6,182.7
1123939,85.5,78.0,119.0,100.60000000000001,234.8,200.5,109.3,82.3,132.3,180.0,137.20000000000002,133.6
1054222,894.2,802.6,841.0,891.0,351.6,562.2,616.8,940.6,906.8000000000001,1201.2,1326.6,1292.8
1054503,525.0,364.8,398.5,593.0,170.0,236.9,325.9,357.4,496.8,612.3,490.7,468.6
1114738,434.8,131.2,116.3,92.2,87.9,189.8,125.2,95.9,192.4,269.4,352.7,279.3
1114746,657.3,382.4,237.2,124.3,151.20000000000002,117.2,122.0,155.4,289.2,427.1,669.5,464.4
1184793,484.3,273.5,228.2,174.4,270.5,432.9,432.4,288.5,348.6,402.1,511.4,293.5
1184791,200.6,96.5,125.2,93.9,187.6,258.2,319.2,232.0,185.4,207.20000000000002,229.9,34.800000000000004
1054921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145297,950.3,431.1,566.9,342.6,417.6,399.3,240.4,209.3,414.7,685.5,759.3,752.7
1025369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015630,726.9,684.1,637.3,250.6,128.7,102.1,68.1,68.3,260.5,769.5,795.3,834.2
1125852,216.7,123.1,158.3,158.2,152.8,167.5,65.0,45.4,28.900000000000002,180.1,205.3,210.4
