CLIMATE_IDENTIFIER,1,2,3,4,5,6,7,8,9,10,11,12
1100032,16987.6,15554.8,34656.9,48978.9,71672.4,82311.8,98379.2,99327.4,79729.7,54169.3,32345.1,10895.9
1060845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060844,-2594.5,1820.0,21674.4,41040.6,67039.8,75597.6,92200.8,91302.4,65928.4,40155.2,17419.5,-6503.7
1160902,-34332.3,-32923.2,-2285.8,21910.1,61765.3,79412.2,98580.4,92072.8,57952.9,22326.0,-8948.1,-37547.9
1160H99,-51317.5,-43510.3,-4153.4,30315.2,84168.0,106709.5,132246.0,123217.7,80678.5,31581.4,-14279.8,-50108.7
1060R0K,29625.0,21264.0,27745.0,34662.9,48030.8,56200.3,66744.5,68890.0,62358.9,52866.0,33821.0,30078.9
1091174,-67294.2,-62047.0,-22907.1,21609.3,73011.8,91467.6,113633.8,105458.0,66590.0,20633.8,-28764.7,-71053.0
1021270,14964.8,12048.8,28743.0,45609.0,76168.0,89742.2,108894.7,108227.1,78383.0,50830.1,23876.7,7720.8
1051351,30439.1,25158.3,28492.5,35678.6,46200.7,51322.3,65885.0,71821.4,65873.1,54443.2,36610.0,31597.4
1141456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061458,24283.0,22351.4,37894.7,58969.9,95302.4,105050.4,128149.4,131209.0,107353.4,75346.1,40488.8,23411.7
1161662,-41433.5,-43665.6,-6698.3,21686.6,60968.8,79346.6,103608.5,97274.8,59302.0,23381.4,-18630.7,-46019.8
1161663,-31176.0,-32060.0,-2130.8,19656.6,51650.1,63255.2,84801.3,84780.5,52967.1,18545.0,-7995.0,-33967.2
1021830,35324.1,30204.1,51060.6,72348.3,109461.9,123946.2,150834.9,150659.4,117953.1,81267.1,48359.4,32925.4
1152105,-41184.6,-32511.5,13900.7,44262.4,89171.1,114274.7,152892.5,144745.8,94370.8,41105.2,-9839.6,-42292.3
1152106,-35381.5,-31701.5,11772.3,39516.0,78283.6,100869.9,133891.7,128544.8,83396.9,38295.6,-8623.4,-35965.0
1182289,-80325.8,-71972.8,-44679.7,26720.7,88849.9,113712.7,134616.3,118112.1,82011.0,28154.9,-50237.1,-81843.1
119BLM0,-110326.4,-87502.6,-54243.6,9447.7,67172.3,88831.6,107547.8,95574.1,55811.9,1944.3,-67581.2,-115509.9
1192341,-105907.5,-88961.8,-51944.5,7732.6,64344.1,88332.9,105998.2,95857.8,51103.9,2663.6,-62757.4,-108436.1
1102415,28098.5,25821.3,50454.3,72479.4,107255.9,122993.6,134687.8,142868.4,111747.9,76764.8,45419.9,23020.0
1032731,48826.0,39827.7,50993.4,64654.0,88623.6,98807.6,113733.6,113284.9,105624.5,82121.5,58162.4,44751.4
1192946,-125654.5,-102542.1,-57291.8,12275.3,83409.6,112191.6,128936.8,115934.7,66379.6,10190.7,-83916.7,-123551.4
1192948,-89915.5,-69531.6,-37457.0,10277.9,58811.1,78869.6,90384.6,82066.5,47736.3,6949.5,-56919.0,-79123.6
1183001,-75101.5,-71378.0,-37404.1,17736.3,79795.7,104541.6,122065.8,115601.7,73000.9,26238.5,-43932.3,-75719.4
1173214,-39842.9,-38026.2,1375.1,31437.2,68330.1,86830.2,105690.0,98139.9,62702.4,24547.8,-10300.6,-38043.0
1173220,-35182.8,-36982.2,-176.20000000000002,27299.7,60364.1,75343.3,91120.0,86479.8,56316.7,20198.7,-6952.9,-34077.1
1063303,30211.8,23362.8,33556.8,45491.0,67108.1,77437.1,93913.4,93833.8,80168.9,63260.9,40348.1,24810.7
1063461,44848.4,38908.3,48116.3,57366.6,73504.3,80777.7,94330.5,96195.5,84247.9,71960.7,52844.0,43641.9
1063496,23858.5,17711.1,25337.0,37952.7,54272.8,64960.7,76549.1,77424.9,68883.0,52280.1,35559.4,21938.9
1113542,14916.2,20906.5,49424.1,77151.8,117021.7,132299.9,164180.1,164899.5,127372.0,85785.8,40194.6,11399.1
1113543,14703.4,18156.8,47328.5,70182.1,107076.9,120435.8,149729.7,149823.0,115749.4,78526.6,36874.0,10288.1
10459NN,38678.5,37118.7,57120.9,74530.4,111153.8,124296.6,150064.1,153283.5,123534.1,90329.3,55757.3,38094.8
1163781,-11182.5,-13222.1,31969.1,61847.3,103260.3,122671.9,149905.5,144618.9,101193.2,58502.7,14469.7,-12892.5
1163842,-13660.7,-12638.2,38277.8,76397.3,124808.6,145925.3,176230.7,175346.7,124467.2,69427.9,21913.0,-15128.5
1123996,-10402.1,-7638.0,32964.9,63711.1,110022.5,130104.2,166775.4,159260.1,110973.3,62293.4,16085.1,-12457.3
1123939,-13694.4,-10037.1,31906.0,67348.6,114018.2,135728.4,169735.2,164089.7,114969.4,61486.5,15199.4,-12822.4
1054222,47442.0,35650.5,42215.1,50099.2,67109.3,79154.1,94914.5,102092.8,96638.3,80036.8,55940.9,47387.5
1054503,24945.0,21313.1,25113.6,30884.7,45181.2,53765.3,64570.2,69917.2,62404.7,49139.1,29472.0,18490.2
1114738,-4916.3,2216.2,33340.0,56434.1,95484.4,109364.4,136468.0,135642.4,96101.3,58433.7,17987.6,-3359.8
1114746,-7107.0,5312.6,46185.7,79197.4,128364.8,150091.5,177338.9,185389.9,131434.1,78144.9,25730.8,-8823.8
1184793,-49714.4,-56379.8,-17596.2,21266.3,71019.6,90810.1,108911.0,101033.0,62221.0,24587.1,-21317.2,-46595.8
1184791,-59868.7,-65476.9,-27683.7,24331.4,85473.9,108813.3,125681.9,119078.0,77136.6,25396.5,-25226.5,-63792.7
1054921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145297,-13054.1,-11086.2,17522.4,48459.1,93573.8,113772.0,139853.8,136358.9,94470.2,49168.6,14072.7,-9914.2
1025369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015630,28211.4,27343.9,48362.2,70333.6,107018.1,123247.0,153377.8,153794.0,117599.1,79780.8,43158.2,25861.6
1125852,-1763.9,5014.5,50413.7,85747.5,132379.3,156069.0,193866.7,183131.1,133014.2,82463.7,29358.8,-5776.2
1086081,-20901.3,-6745.9,26035.1,64239.6,109817.5,124242.3,157102.0,152972.2,107609.3,59210.3,11489.7,-17806.0
1086082,-16751.8,-3537.6,28097.6,64847.0,102670.7,116788.3,154745.3,151233.6,107538.3,59938.7,12088.3,-15265.8
1126146,-2070.4,-451.8,36773.7,65835.9,111027.9,132717.7,168146.7,160878.4,114256.5,69236.8,23995.6,-4817.6
1106178,28761.0,29442.3,53981.1,75077.9,112714.6,125822.7,153906.0,155105.7,122443.5,84170.8,45441.8,23214.9
1036B06,18302.4,17894.5,38697.3,62505.6,103801.4,118486.8,148318.5,150267.0,115073.9,76206.8,36208.5,14890.1
1026271,29592.2,21499.0,35320.0,47597.6,69307.1,81487.5,97249.3,98023.5,79604.5,60580.2,35874.9,20575.5
1046395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
