CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1100032,,,,,,,78.11127046731205,76.04636217580904,76.83118218161052,74.88571754766527,77.97640487860481,75.16965407009933,76.10675381263617,77.60955056179775
1060845,,,,,,,,,,,,,,
1060844,,,,,,,79.79801437863745,77.68373216751036,76.54236894106707,75.62324994262107,78.93064902475192,77.16001372526593,77.4272591571937,78.77335375191424
1160898,,,,,,,,,,,,,,
1160H99,79.79714448886351,81.18605500121684,80.74624124870883,80.04181464085234,80.06242827633693,79.37636009620891,82.30006890215894,,,80.29857765542556,80.88413242009132,,,
1060R0K,,,,,,83.76440520446097,,,,83.02067274001402,83.47573739295909,,,
1091174,75.01928571428572,77.31496333638863,74.54791980530769,76.14795335010291,74.01533882783883,76.57433597792343,76.64697833523375,74.95942393416391,75.25251486053955,76.17025664527957,75.9584287677508,,,
1021267,,,,,,,,,,,,,,
1141456,,,,,,,,,,,,,,
1061458,79.99790600279199,,81.39497987212881,83.09565116817025,79.67791939373062,81.60144927536231,81.01653651814424,80.34603834603834,80.06327356853673,78.29805690492714,81.79649327878434,,,
1161661,68.04133363781685,66.51435434061536,63.83111262954105,67.05539691604797,,,,,,,,,,
1161662,,,,,70.2652711050103,70.18492244799808,73.7463706233988,68.08876560332871,70.44772026054166,71.86840301576422,71.52438745133959,66.2596483215346,68.81240614531593,76.67577756833177
1161663,,,,,,,71.85305234222884,67.60281174991428,72.00994783452626,72.03020940611054,71.28129635969417,67.99622857142857,68.28655239848153,79.16998468606432
1021830,79.3170091324201,77.66369863013699,78.2109099191436,80.96369863013699,79.56107305936074,79.43630136986302,80.71609156132558,77.88204773434798,80.24960018277359,76.92279579716765,76.39132414892406,,,
1152102,70.18339614023067,65.49868646487721,,,,,,,,,,,,
1152106,,,,,67.56375761756928,64.36138216048674,68.00285485896997,62.42516069788797,64.50326198924115,64.22473708276178,63.940312108440594,62.736227236284506,64.01653082309723,72.10311383358857
1182287,,,,,,,,,,,,,,
119BLM0,72.0658318014706,76.49816176470588,74.01561965568351,76.18858845096241,75.42527941007029,75.24979956476922,74.28618683700239,72.06034285714286,69.43492208982585,72.50751232939557,75.05506783719075,,,
1192341,,,73.71325100926146,77.00307255967856,,77.46538649706459,79.60158280179542,76.46040237236888,72.45645922006211,75.6714644733836,76.64452546428164,76.18309537407195,74.64206176099185,77.95973782771536
1192345,69.83474479285877,74.00251436781609,,,,,,,,,,,,
1192340,,,,,,,,,,,,,,
1102415,,83.13946316390634,82.36274509803921,85.14821163295623,84.18612676866444,85.11058850521968,,84.95824682814302,,,,82.08839336763864,,
1032731,91.08546607184785,92.90642458100558,92.42714662386794,,,90.02776502983019,89.9946297989031,88.60415915374445,88.85838680109991,88.43845010858384,90.11909871244636,,,
1192940,63.07992692395524,68.36182857142857,,,,,,,,,,,,
1192948,,,,,,,72.37405886379193,70.66056933805876,68.07596384852992,70.54503834268056,71.2447329461337,69.32394366197182,68.80986887508627,76.98825931597754
1183000,64.20913242009132,59.7603607717776,55.45700636942675,,,,,,,,,,,
1183001,,,,70.00735209649626,68.05292033375243,66.14267734553776,71.6373576309795,68.08111504626984,69.29338512509996,70.22454337899543,68.13732676669339,66.69334398903985,66.5697074010327,74.55102996254682
1173210,,,,,,,,,,,,,,
1173220,,,,,,,78.06383464656847,73.19739547635366,75.357973517559,73.789136649514,74.90879033177517,73.43520642201835,71.03854118729866,78.47037793667008
1063303,,,,86.04644119131751,,,83.61838790931989,81.93834672789896,82.68356180163576,83.3447247706422,83.58265548742335,,,
1063461,85.56924324950748,86.72982857142857,85.03180661577608,86.53110599078342,84.6550329365538,85.94468085106384,,,,84.65131954758368,,,,
1063496,,,80.72561257512714,83.75124205661467,79.40794930875576,82.45151654411765,82.298509187565,82.29075342465754,,,,82.14304399524376,,
1113541,78.61842258101986,,,,,,,,,,,,,
1113543,,,,79.27054245822843,76.15129996563968,75.03383803624685,78.0345024563007,74.13649885583524,76.07451070161383,74.19560992340232,77.67704058367534,75.36435620840028,73.07442396313364,79.48723186925434
10459NN,77.84140767824498,78.99068835454975,78.64575267592804,78.53012048192771,75.9341620626151,75.32622894465452,80.1510143606109,78.35149645876172,79.96592244418332,,,,,
1163781,,,,,61.09678526484384,60.220635283363805,63.538338840150395,59.8104216660953,64.16388571428571,61.92880813621301,63.21749032111136,58.60806028085398,61.5470918894115,70.88904494382022
1163842,,60.7000343997248,60.68411193068727,64.04076958314246,63.36575028636884,61.02709529276694,65.04330438756855,61.63753007217321,64.94759725400458,62.40301921317475,64.57007854688267,58.69280821917808,,
1123996,,,,68.22839506172839,64.85979381443299,62.40337001375516,64.53467153284672,61.580855443732844,62.367074146007084,61.01404590613224,62.60243985862501,60.61675620070865,63.15125373821026,72.86064318529863
1123939,,65.86087904104613,68.02539464653397,70.66628545288198,68.53284588141209,66.50875586585785,69.6629392971246,68.66198469795592,71.01210321991323,70.76211705532693,70.25253445722747,,,
1054222,,,,,,85.57465378796695,86.14051305754565,84.54298590247285,,83.6822354831306,83.8415002322341,,,
1054503,87.62179791271348,,,,87.11709333027207,87.99320980550121,89.3876102141303,,,,87.6634024140287,88.28700319780722,89.22233300099701,86.78171545968156
1114738,,,,,63.04586629973627,64.3268678985424,67.094468183393,62.04145565893299,64.41281992687385,64.35518501598904,65.2678286625655,,62.82769445413324,69.85346441947566
1114746,,,63.09580630213161,65.95659163987138,63.16591721434337,66.69452449567723,69.44897959183673,64.36200388882534,68.17262682666033,65.2937370002311,64.07398790134947,63.21942990110529,,
1184790,,,,,,,,,,,,,,
1184793,,,,,71.28005966039467,73.85919045980965,75.53875520592318,72.57847840986977,71.6557320836667,73.33881466255566,72.96461271962386,72.24634703196347,70.59689119170984,78.23685553854007
1184791,,74.67897037396794,72.57622525918944,74.82456946039035,72.02765981866177,74.78574707367454,76.79467854287998,73.84329212454213,72.21651019006183,74.0183957952468,75.2485213962658,73.42506002057848,,
1054929,,,,,,87.93593153694923,84.00596877869606,83.46649040119554,86.45348438036389,86.98120989917507,88.40201349959959,88.51246376811594,87.26036677958183,85.72680169571362
1054920,,,,,,,,,,,,,,
1145297,,77.38264947245018,78.19024558976133,76.9351110093843,76.8510414228879,77.3855199446622,79.4340828672526,72.46012199332489,75.60781624957147,75.08778146073837,76.25945330296128,,,
1025365,,,,,,77.24130036630036,78.9356905824465,78.24871531346352,79.15258108725446,76.43156328679332,78.88204485938745,76.35034246575343,78.62391005048187,82.78491096532333
1015630,78.18479421183727,78.09642693540998,76.8642330723169,82.13354437800446,76.58455408414392,77.42075060254791,78.34217749313815,76.95262557077625,76.66720146688058,,78.64867640346874,,,
1125852,62.817474354439334,60.21285878300804,,65.61666284666514,62.94502977553825,62.12177798144117,64.15470749542962,63.12818462241517,62.66266712375729,61.41858871888559,59.943583314337815,58.19366639990854,,
1086081,,,,,,,,,,,,,,
1086082,80.39973958333333,81.09137489325363,79.64022333372107,79.06697142857143,76.30105409475269,77.11262562088483,78.8966662847978,77.73883161512028,81.504064024009,78.63742071881607,81.31313015582035,,,
1126150,64.21180634848139,60.17016902695295,,,,,,,,,,,,
1106178,80.58144848069453,80.6698981470119,80.08518645227505,78.8222526844871,78.73065476190476,79.11741122565864,79.89237616982425,77.02425906854332,78.31781260725317,77.0266590389016,78.41590597900502,,,
1036B06,83.79687143183375,84.78018079871839,82.93190617171487,83.54193474264706,81.54668346889679,80.23283445675769,84.17701649862511,81.68705854184125,83.02553389043639,82.68847778919721,85.47150259067358,,,
1026270,82.18287671232876,84.93400319707696,84.39120528594214,,,,,,,,,,,
1046391,,,,,,,,,,,,,,
1046392,80.53312191684284,81.05564460728189,,83.21648507816201,82.08245412844036,,82.90673990159057,81.09771689497717,80.45745288406624,78.53620038888253,80.89194118317565,,,
1096453,71.87590486039296,75.4155436802974,73.72995780590718,75.77300824175825,71.50928047662694,72.89575910814848,74.23431439653206,69.64066628374498,69.48528232733936,74.2084050981743,74.97637256021002,,,
1096454,,,,72.68969907407407,69.03374695581584,71.47710317915758,73.24348720292505,68.32352941176471,67.76230354479752,69.79406880189798,68.94709662611889,65.5642112498568,68.13967704728951,75.66462480857581
1096439,,75.00860084797092,72.68586147681741,74.88313093663581,72.78229637353725,75.65168023855946,78.41709401709402,72.55703048180925,72.48577655425557,75.27284322820037,76.12310670766428,,,
1066483,,,,,,,,,,,,,,
1066482,,84.4861966970668,84.72272403137627,87.60551308779245,84.20852210113873,86.8580467042448,84.78181611028825,84.9376715462031,85.4682503426222,84.66202170188464,84.97823972769268,,,
1126510,,,,,,,,,,,,,,
112FN0M,,,,72.67051750559943,68.71173954372624,67.83514970746816,70.00982969482227,68.04107551487414,68.54184003698566,67.09392138939671,68.12253054699097,67.49633951040951,,
1086558,68.0047972587093,70.24178727314495,69.1064099608024,70.5871906507791,67.90170500057215,70.23841665713306,73.4319689000686,67.95526561043802,68.79830489061963,71.15173674588665,69.02018934641268,,,
1096631,69.99245196706313,74.67396537888341,72.81095890410958,75.23257149420007,73.72800645682001,73.63379958725064,74.05565693430657,68.6442131747484,71.62120691629451,75.85871685986457,74.47122592549879,,,
1096625,,,,,,,,,,,,,,
1096629,,75.72584351191196,74.45241109448729,75.57200183444164,74.1934397605388,76.26728380595266,76.75051759834369,71.36120630568882,73.37575896437164,75.84556901876931,76.44171220400729,71.03036821460205,,
1176745,,,83.38327004947647,80.05677655677655,78.64664059722716,78.33212771264654,79.35330836454432,76.87384298937265,80.88455823522688,79.15807520859526,81.32179249652617,77.9668533546691,77.89064118798204,86.47986891385767
1176755,,,,78.83476764199656,,,77.6870150616157,73.73174077037376,78.87817433081675,78.12105624142661,79.89367382472432,76.39305364511692,76.0070307007265,
1056869,,86.5719428777151,86.56108274961416,87.71538373293565,86.93817265857568,88.57213246247278,,,,,91.35909562810012,,,
116FRMN,74.97990408769125,74.59440238586832,75.6246013667426,77.53989483310471,77.42006413192854,74.51591117216117,77.95916141541444,76.02297390902794,79.8631169749087,75.11219680423036,75.08369441277081,,,
1057051,,,,83.78610804851158,,83.64909672993369,83.38996006845407,,83.08092948717949,82.22142203932327,83.63809198542805,83.63514749599817,84.05158318940703,84.54466564573762
1057055,,,,,,,,,,,,,,
1057052,,83.45040571636187,84.3613832853026,83.92965355255431,84.08593840119968,83.27880316404907,82.99726370995326,84.5250342935528,83.65023148148148,82.53893724232707,84.23619177770186,,,
1037090,88.8238274805562,,87.61784764767079,90.34121582650825,,87.04982497082847,88.11183832816627,87.18182875756166,89.6682842287695,89.33813116656994,,87.37602731065874,,
1077498,,,,,,,,,,,,,,
1077501,,,,,72.96096611721612,75.08253094910592,75.11504222780187,74.02451317296678,73.24330228814534,76.73853736817973,77.58271576787139,74.70634012359808,74.29323221877513,79.56814701378254
1077499,,77.26653767081872,76.12059262662225,78.56386861313868,75.23253873659118,77.59401074408504,78.01052390757263,76.12040210189627,74.46892138939671,77.19144556267155,77.39817804428044,,,
1037553,86.97381172127365,,,87.0114849187935,,86.1885899064557,,,86.97277341947392,,,85.73325961420322,,
1157635,,,,,,67.3209833391588,69.76599907918968,64.50878009070823,68.40737337774205,69.72098341909663,67.2757599908915,67.13788364635822,68.11880733944955,69.11142322097378
1157631,75.90350877192982,73.89371980676329,74.63758466306969,69.97305389221557,69.7927752293578,68.55519926706367,71.61557788944724,67.66037087912088,70.95739090701393,70.89572864321607,67.57738800663664,,,
1157630,,,,,,,,,,,,,,
10476F0,81.47064220183486,,,81.32664450249347,78.92431008817131,80.24107551487414,80.7595890410959,77.56788003663004,80.2726649136847,77.21325648414985,81.39464082098061,,,
1067742,,,,,,,,,,,,,,
1088015,73.2954440333025,73.58286629303443,,70.64544519373642,68.8581405999542,70.94295962050214,73.26028959069662,68.41541288618353,70.34704399633364,70.68680499828041,68.42310329067642,,,
