CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100032,,,,,,,97128.3,88950.7,95027.9,91207.5,90963.5,92504.0,89227.1
1060845,,,,,,,,,,,,,
1060844,,,,,,,76904.2,66143.3,74063.9,73226.4,72044.5,71400.6,71297.6
1160902,,,,,,49930.5,45832.6,33020.7,37720.2,33497.5,36164.3,39832.2,41984.4
1160H99,44247.5,30000.7,38677.0,43246.3,35765.5,48209.6,46825.0,33642.2,36652.1,32906.0,35374.7,,
1060R0K,73384.6,68463.0,,75851.0,78357.2,83484.0,,,,78495.7,74251.8,,
1091174,23828.8,11614.7,17779.1,28215.7,21382.0,27917.3,31451.2,16699.5,19965.4,20853.4,20631.2,,
1021270,,,,,,87775.2,84952.8,75708.4,81815.5,79252.2,79359.7,80186.9,76157.5
1051351,,,65843.3,72872.2,81862.5,85768.4,84313.7,73546.9,79314.6,,,,
1141456,,,,,,,,,,,,,
1061458,75757.5,65057.6,69989.7,79808.7,81038.3,85749.1,83789.5,72927.5,79217.6,80636.3,75838.4,,
1161662,,,,,29757.3,40910.2,37114.8,27440.0,30512.1,24798.1,29756.8,31921.2,36910.3
1161663,,,,,,,45117.9,35638.1,32140.1,32049.3,38427.1,39193.9,45760.4
1021830,89604.1,82637.7,85739.4,89989.9,93880.4,98640.5,96035.9,86550.1,95443.3,92573.1,93250.1,,
1152105,,,,53446.2,52875.8,65090.9,61017.9,52638.2,54935.6,48427.2,59229.7,61640.6,59593.1
1152106,,,,,51168.2,63798.1,60062.5,51558.3,53648.0,46770.4,58043.1,59318.8,58532.0
1182289,19419.0,23590.7,21464.6,30450.5,16583.4,35970.8,33890.3,28937.2,17994.1,18621.4,16197.1,,
119BLM0,412.3,-7658.3,-11923.1,4038.2999999999997,-1604.1000000000001,6486.1,7645.900000000001,-5648.5,-276.80000000000007,4691.9,-4997.7,,
1192341,,,-8991.6,2794.2,-4214.1,7512.4,6075.9,-5809.5,-1963.4,3946.9,-5808.6,-10709.6,15193.2
1102415,,78041.9,82506.7,83965.9,89668.1,94675.0,83702.5,82533.3,88111.8,84225.6,87262.9,86918.1,
