CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1100032,,,,,,,4.0343231074459185,4.116595401652513,4.2084067904054825,3.9977639547893595,3.6546522013223894,4.377018360543441,4.228888457745671,2.1599059644194756
1060845,,,,,,,,,,,,,,
1060844,,,,,,,3.252787386739701,3.2187861988034974,4.030580359177031,3.620011076428735,3.1002128964179785,3.539516863776736,3.338414942014009,1.5691519346605411
1160898,,,,,,,,,,,,,,
1160H99,3.3359859760137063,2.6995377756145045,3.0996484827269595,3.424087103906518,3.182847098152425,3.761920596809365,2.995731688102894,,,2.7870033551273226,2.7113935038246377,,,
1060R0K,,,,,,1.949668594330855,,,,1.851514076150432,1.8275297169025813,,,
1091174,3.453998323809524,2.515854076535289,3.3137836794530076,3.4216114406585865,3.6684170178880557,3.327281233866193,3.2660472656784494,3.283867476283004,3.5183094535893917,3.0840294271310724,2.7752102302141792,,,
1021267,,,,,,,,,,,,,,
1141456,,,,,,,,,,,,,,
1061458,2.573271757794323,,2.372571625621596,2.312570975017349,2.627691229762315,2.6739255607960426,2.547399139871383,2.4297586151536152,2.742575013302487,2.7776048427018276,2.3641707552022444,,,
1161661,4.3228263564740805,4.080810829234816,4.790146055119007,4.54511345631068,,,,,,,,,,
1161662,,,,,4.006751463051933,4.426517288685824,3.6673035878980116,4.621393277854831,3.973172004342361,3.4416126010966415,3.476260349249971,4.824086266270839,4.354896393991912,1.2459671489161168
1161663,,,,,,,4.168299202840453,5.119669825122871,4.046981522503942,3.697763468360224,3.8275655980369776,4.993901169142857,4.861148887610721,1.1086636753445636
1021830,3.2433894965753427,3.1894138082191783,3.336927449037695,3.1014923436073056,3.482366184931507,3.7018533299086758,3.314512750256235,3.6745299008416925,3.7815896275988123,3.7882802935130195,3.787894314506946,,,
1152102,4.590996070572114,5.24797958195317,,,,,,,,,,,,
1152106,,,,,5.431244571067157,6.361058001837391,5.31540639716798,6.755773417125804,6.0556272244477505,5.366288994055784,6.020759619503304,6.441377694422174,5.958692461255883,1.5525299795814191
1182287,,,,,,,,,,,,,,
119BLM0,3.1651503412224264,2.249100218290441,2.54192719302246,2.7571244500458296,2.6610836971303446,2.732121389430242,2.8772743062528527,2.8407799702857144,3.307021355407883,3.0743639775203575,2.331655745724059,,,
1192341,,,2.5824815637615766,2.7180859182226422,,2.697121090998043,2.517318987715568,2.504759727875334,3.0184917075417386,2.778851199862873,2.1956985331661727,2.4409414846162645,2.7176256124440363,0.8572585814606741
1192345,3.1811397184710457,2.4445035069444443,,,,,,,,,,,,
1192340,,,,,,,,,,,,,,
1102415,,2.6390692118789265,2.8507545519835844,2.552693809850303,2.799084151986183,3.070567913602941,,2.78236300461361,,,,3.222493539165237,,
1032731,1.129987770603428,0.8799323684823092,0.9566787859681302,,,1.3988712448370813,1.3577726896709323,1.4303602644548623,1.4690438645737856,1.5164764921705338,1.2855498342870768,,,
1192940,4.4101693845626855,3.387353584,,,,,,,,,,,,
1192948,,,,,,,3.956440586423274,3.864981294157997,4.208074653929756,3.6378253839990844,3.108860617312073,3.889852422993244,3.8506715723487464,0.6749198825931598
1183000,4.3478035673515985,4.319785025687864,5.532588767760902,,,,,,,,,,,
1183001,,,,3.4388222917863294,3.963820204594811,4.289345464530892,3.638286488610478,4.010338228036102,3.7804058756997603,3.409962363013699,3.5494953379152347,4.205947820527458,4.21565007458405,1.155719438202247
1173210,,,,,,,,,,,,,,
1173220,,,,,,,3.5840373575425377,4.5054967557687915,3.9748640483592395,3.6097848164665525,3.6241128791334094,4.235548776376147,4.366586323055683,1.1246621092951992
1063303,,,,1.5030506082786472,,,2.0090604098923746,1.952853699621082,1.9985172376454325,1.8813377889908258,1.83602871339174,,,
1063461,1.6589818321937653,1.4009290891428572,1.6071458223455932,1.5222452684331798,1.7852053727031088,1.7597709708961233,,,,1.723802913286873,,,,
1063496,,,1.7583745723532131,1.73103382322357,2.165556405529954,2.0226371449908087,2.013551086328441,1.793459123287671,,,,1.8458084875148633,,
1113541,3.612706607039145,,,,,,,,,,,,,
1113543,,,,3.767647865644312,4.0378830790378,5.054549495297087,4.099624886324689,4.768089159038902,4.567221303651139,4.2311649674174,3.9326723315471437,4.579081387422539,4.777114434331797,1.783978937691522
10459NN,3.186440669561243,2.830461885902876,2.998747917330904,3.1603907412507173,3.6698506158627837,4.0392625641907385,3.0988808547982676,3.1842506865432942,3.1276369330199763,,,,,
1163781,,,,,7.173377274911338,7.9434787202925055,6.895317242793665,7.724578936121586,6.637146315428572,6.75239852816821,6.407847111946247,7.942240029683754,7.2911415659057015,2.250994761235955
1163842,,6.592980583648664,6.9563658400655655,7.0006651145213015,6.894816560888991,7.882167609095085,6.754347677102377,7.557324101271623,6.586038366132723,6.7755927710430015,6.5789755597839426,7.961849191780822,,
1123996,,,,6.067509764733287,6.708378390422729,7.655563908757451,6.75094885834854,7.512668841491308,7.064685446132755,6.847788802101176,6.568277127708096,7.902006430449194,6.797345241545894,1.978087172026544
1123939,,5.821223231626105,5.733683040494166,5.439675631290027,5.962806707414601,6.889338362138034,5.840233072797809,6.228058094096151,5.655009295420807,5.433608907947399,5.370927463825908,,,
1054222,,,,,,1.7521672628883975,1.6651603928819043,1.6773882447423156,,1.8083291324305715,1.8331073696434792,,,
1054503,1.319930214658444,,,,1.3859375881069913,1.4187745085174954,1.2050677402359409,,,,1.3452168853205784,1.20863321836455,1.1393351246261216,0.9994333333333333
1114738,,,,,7.59476960210985,8.177316440950305,6.8255174719944565,8.184619495936873,7.493972004571429,6.71702037464306,6.7821511814970945,,7.478752845178551,2.5619058380149813
1114746,,,6.9727654089434665,7.03445577170418,7.6512648466328415,7.828889139660939,6.39789140462889,7.734221741965001,6.521579714862778,6.719494980355905,7.176619062245492,7.86728493310064,,
1184790,,,,,,,,,,,,,,
