CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1100032,,,,,,,10.845804446569447,11.060849598163031,10.685479264252256,10.309801233721727,10.785347483738446,11.285224937200274,10.439729326757655,
1060845,,,,,,,,,,,,,,
1060844,,,,,,,7.298071436722584,7.670846755637368,7.561315820062768,7.391324305714941,7.985619721524766,8.850394601395402,7.531059823171431,6.550980392156863
1160902,,,,,,4.012773069117823,3.733885819521179,4.283480074142725,4.150303880317906,4.250865051903114,4.254485131481936,4.20032310177706,4.289436117059243,
1160H99,2.314098525891395,2.559381844731078,2.3448869505336853,2.4776013273287507,,,3.0370842507822458,3.511261003772722,3.333063957515585,3.704240158859946,3.623668364983789,,,
1060R0K,,,,24.406326889279438,22.7608972135507,23.62778810408922,,,,22.168671884125686,24.633206470028544,,,
1091174,5.1378571428571425,5.096585701191567,5.0272337466682115,4.515144587952909,4.521062271062271,4.464872944693573,4.426795895096921,4.600182878043205,4.374640432631458,4.237483648471875,4.688416852482103,,,
1021261,,,,,,,,,,,,,,
1141460,,,,,,7.575048030739674,7.80864710773251,7.843549127640037,7.86521987435751,7.857687420584498,7.635193621867882,7.817159899059417,7.755191006080073,
1061458,20.798045602605864,17.326675182905586,18.865632769030427,15.4719723183391,22.264094614766332,18.68391994478951,20.695911805236562,21.12115962115962,19.723308270676693,20.540196645459805,18.62115721800117,,,
1161661,7.550330895158481,8.361317625528995,7.865169819922499,7.595287119652253,,,,,,,,,,
1161662,,,,,10.384412909132525,10.207601290785227,10.869383974062066,11.058379984005484,10.748396701786533,10.045703839122487,11.24295855278223,11.662205444978266,10.633155946321148,
1161663,,,,,,,7.461344634062536,7.627728883300949,7.424602693194226,,,,,4.747911547911548
1021830,13.86552511415525,12.916780821917808,13.459804144841721,10.911187214611871,11.44337899543379,12.177168949771689,12.896253274114565,12.008993427879627,11.564656157185286,11.387619917770671,12.423887054537174,,,
1152102,7.614111199908665,8.853129282777523,,,,,,,,,,,,
1152106,,,,,5.4680386295700165,5.582941108942716,5.41292680141601,5.525120440467997,5.165960856129106,5.168952903520805,5.630957889865803,5.779445462878093,5.455286419469636,4.519461077844311
1182287,,,,,,,,,,,,,,
119BLM0,7.198299632352941,6.759420955882353,7.1851556264964085,6.871562786434464,6.764935213851622,6.462833581491238,6.591992699897342,6.176685714285714,6.288725939505041,5.560763071125765,6.014517604023776,,,
1192341,,,8.10448824507243,7.754158745247148,7.6462834126693515,9.16804788213628,7.845589973989123,7.634754251106452,7.577463167587477,7.0853909465020575,7.391586867305062,7.324791213819929,7.505340530607557,
1192345,7.130534263814209,6.764946663358968,,,,,,,,,,,,
1192340,,,,,,,,,,,,,,
1102415,,4.146773272415762,3.8996808025535796,3.1079876585533084,2.8509880514705883,2.54543371147015,2.618504128217581,2.431010772404309,2.4903395449868526,2.167066620957605,2.3019491622022112,2.2969107551487413,,
1032731,20.340230936321024,,19.200865406513323,18.156978112497058,18.28980818118789,18.601491681009755,19.579524680073128,18.18285512699906,17.241636113657194,16.866041833352384,19.97305674773486,,,
1192940,6.705674163717319,5.701371428571429,,,,,,,,,,,,
1192948,,,,,,,5.5327401323294545,5.83480050302961,5.7848072302940166,5.740299874098661,5.878701594533029,5.576275071633238,5.729238555325511,4.331997996995494
1183000,12.82054794520548,15.275488069414317,14.513162728051917,,,,,,,,,,,
