x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-65.71125,66.14341667,10721,PANGNIRTUNG,NU,NUNAVUT,CAN,660836300,-654240500,EST,22.6,2403049,WXP,71826,Climate-Auto,G,1,8,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2/1/1994 2:00,6/7/2022 12:30,2/1/1994 2:00,6/7/2022 12:30,9/6/1995 0:00,6/7/2022 0:00,1/1/1996 0:00,9/1/2007 0:00,Y,N,Y
-73.75,45.46666667,5415,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QC,QUEBEC,CAN,452800000,-734500000,EST,36,7025250,YUL,71627,Aviation-Staffed,A,1,1,,,1/1/1941 0:00,2/14/2013 13:00,1/1/1953 0:00,2/14/2013 13:00,9/1/1941 0:00,2/13/2013 0:00,1/1/1941 0:00,2/1/2013 0:00,N,Y,Y
-71.5,46.9,10965,VALCARTIER,QC,QUEBEC,CAN,465400000,-713000000,EST,167.9,7018572,WQG,,Climate-Auto,,,,,,2/1/1994 2:00,7/22/2008 0:00,2/1/1994 2:00,9/27/1999 11:00,8/18/1994 0:00,7/22/2008 0:00,,,Y,N,Y
-68.14583333,49.25916667,26889,BAIE-COMEAU,QC,QUEBEC,CAN,491533000,-680845000,EST,129.5,704S001,WFW,71829,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,5/29/1995 16:00,6/7/2022 12:30,5/29/1995 16:00,6/7/2022 12:30,1/31/1996 0:00,6/7/2022 0:00,,,Y,N,Y
-73.74166667,45.46777778,30165,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,QC,QUEBEC,CAN,452804000,-734430000,EST,32.1,702S006,WTQ,71183,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,12/23/2002 0:00,6/7/2022 12:30,1/8/2008 13:00,6/7/2022 12:30,12/23/2002 0:00,6/7/2022 0:00,,,Y,N,Y
-71.68333333,45.43333333,30171,SHERBROOKE A,QC,QUEBEC,CAN,452600000,-714100000,EST,241.4,7028126,GSC,,Aviation-Auto,,,,,,4/7/2004 4:00,8/17/2010 0:00,4/7/2004 4:00,10/22/2009 13:00,1/1/2005 0:00,8/17/2010 0:00,1/1/2005 0:00,12/1/2005 0:00,Y,N,Y
-80.6,51.28333333,30242,MOOSONEE AWOS,ON,ONTARIO,CAN,511700000,-803600000,EST,9.1,6075431,YMO,71836,Aviation-Auto,,,,,,1/1/2006 0:00,9/23/2010 13:00,1/1/2006 2:00,9/23/2010 13:00,1/1/2006 0:00,9/23/2010 0:00,,,Y,N,Y
-79.4,43.66666667,31688,TORONTO CITY,ON,ONTARIO,CAN,434000000,-792400000,EST,112.5,6158355,XTO,71508,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,6/4/2002 0:00,6/7/2022 12:30,6/4/2002 16:00,6/7/2022 12:30,6/4/2002 0:00,6/7/2022 0:00,7/1/2003 0:00,12/1/2006 0:00,Y,N,Y
-83.35944444,64.19333333,1713,CORAL HARBOUR A,NU,NUNAVUT,CAN,641136000,-832134000,EST,62.2,2301000,YZS,71915,N/A,C,1,4,DND,Department of National Defence,1/1/1933 0:00,5/7/2015 13:00,1/1/1953 1:00,5/7/2015 13:00,10/1/1933 0:00,5/6/2015 0:00,1/1/1933 0:00,5/1/2015 0:00,Y,N,Y
-71.16666667,68.65,1746,DEWAR LAKES,NU,NUNAVUT,CAN,683900000,-711000000,EST,526.7,2401030,WUW,71092,Aviation-Auto,D,1,5,DND,Department of National Defence,6/16/1956 18:00,6/7/2022 12:30,6/16/1956 18:00,6/7/2022 12:30,2/1/1958 0:00,6/7/2022 0:00,1/1/1958 0:00,9/1/2007 0:00,Y,N,Y
